id,client_id,tank_id,created_at,updated_at,status_id
122,203,,2018-12-10 17:56:53.400752,2018-12-21 17:19:33.842719,3
183,203,,2018-12-21 17:19:34.378048,2019-03-09 17:00:37.854017,3
281,203,,2018-12-29 17:07:50.199526,2019-03-09 17:00:42.224471,3
416,278,,2019-01-12 16:56:15.552516,2019-02-16 16:11:21.793846,3
399,203,,2019-01-12 16:50:27.587246,2019-01-12 16:50:27.587246,5
568,278,,2019-02-16 16:11:23.047681,2019-02-16 16:11:23.047681,5
569,278,,2019-02-16 16:11:29.38693,2019-02-16 16:11:29.38693,5
682,203,,2019-03-09 17:00:44.036358,2019-03-09 17:00:44.036358,5
